time,BTC,ETH,BCH,DASH,BNB,XMR,LTC,NEO,ETC,VEN,EOS,XTZ,MIOTA,USDT,ADA,XEM,XRP,XLM,TRX,DOGE
2018-03-24,9036.23,546.01,990.72,442.96,14.34,217.57,169.69,67.06,18.54,3.48,7.08,3.949,1.42,1.059,0.202,0.2998,0.6776,0.2451,0.052790000000000004,0.003717
2018-03-25,8690.36,535.77,978.61,418.73,14.13,215.68,163.22,66.34,18.35,3.5,6.67,4.15,1.37,1.027,0.1888,0.32130000000000003,0.6541,0.2431,0.04993,0.003591
2018-03-26,8521.04,526.2,939.13,397.99,12.51,203.81,160.96,66.16,18.09,3.217,6.51,4.003,1.33,1.048,0.1841,0.2998,0.6377,0.24530000000000002,0.04644,0.003521
2018-03-27,8226.24,491.92,903.44,373.48,11.76,189.67,149.33,61.54,17.2,2.964,6.52,3.561,1.24,1.056,0.16690000000000002,0.276,0.6018,0.22940000000000002,0.047670000000000004,0.00335
2018-03-28,8117.79,465.2,902.64,362.09,12.14,201.14,139.79,59.1,16.52,2.941,6.5,3.24,1.25,1.022,0.1622,0.26430000000000003,0.5886,0.226,0.049580000000000006,0.0033
2018-03-29,7983.77,448.5,869.29,337.35,10.53,179.8,132.52,57.33,14.86,2.576,6.29,3.17,1.19,1.12,0.15990000000000001,0.2595,0.5745,0.22030000000000002,0.054040000000000005,0.003214
2018-03-30,7280.27,411.17,772.11,325.62,10.41,181.51,126.57,51.11,14.7,2.507,6.18,3.18,1.1400000000000001,1.064,0.15,0.2464,0.5257000000000001,0.20020000000000002,0.04748,0.003009
2018-03-31,7228.4,421.05,719.37,322.26,11.31,183.27,125.21,51.7,14.61,2.427,6.16,3.02,1.16,1.044,0.1583,0.23970000000000002,0.5219,0.2202,0.04358,0.0029519999999999998
2018-04-01,7056.22,399.59,684.27,306.04,11.25,184.06,118.37,49.68,14.14,2.35,5.99,2.94,1.09,1.035,0.15710000000000002,0.2315,0.5078,0.2114,0.035190000000000006,0.002877
2018-04-02,8218.66,394.12,683.26,315.46,12.73,182.31,121.72,50.14,14.3,3.037,5.9,2.89,1.06,1.165,0.1562,0.23720000000000002,0.5034000000000001,0.23650000000000002,0.036050000000000006,0.0029500000000000004
2018-04-03,7528.97,426.84,724.84,340.79,14.04,189.2,137.4,53.7,15.25,3.282,6.15,2.9370000000000003,1.12,1.016,0.1711,0.2641,0.5531,0.2373,0.03619,0.0031119999999999997
2018-04-04,7442.42,417.11,654.42,312.83,12.51,173.73,134.93,49.17,15.08,2.677,6.07,2.733,1.11,1.095,0.1766,0.2691,0.5523,0.23370000000000002,0.03547,0.0031349999999999998
2018-04-05,6933.66,387.56,652.63,304.35,12.61,174.45,122.69,47.64,13.76,2.531,6.41,2.737,0.9942000000000001,1.025,0.1557,0.246,0.4975,0.2073,0.04612,0.00287
2018-04-06,6869.53,385.78,628.25,294.39,12.41,171.71,120.47,46.25,13.44,2.401,6.38,2.607,0.995,1.04,0.1489,0.23390000000000002,0.49470000000000003,0.1978,0.044230000000000005,0.0029000000000000002
2018-04-07,7083.85,397.1,644.61,308.51,12.87,170.44,119.85,47.42,13.79,2.6550000000000002,6.01,2.615,1.03,1.028,0.15080000000000002,0.2364,0.49620000000000003,0.2063,0.0385,0.0029389999999999998
2018-04-08,7132.03,404.22,658.82,317.32,12.79,174.34,118.65,49.59,14.45,2.665,6.02,2.672,1.05,1.017,0.1587,0.2429,0.5012,0.2084,0.03917,0.002993
2018-04-09,7204.28,431.23,649.15,308.11,12.09,181.4,123.21,54.28,13.79,2.7960000000000003,6.09,2.6550000000000002,1.07,1.063,0.1658,0.252,0.5114000000000001,0.21430000000000002,0.038450000000000005,0.0029909999999999997
2018-04-10,6922.84,418.27,657.42,305.69,12.56,169.23,115.46,53.86,13.82,2.879,6.08,2.721,1.02,1.013,0.1578,0.24350000000000002,0.49350000000000005,0.203,0.037840000000000006,0.003271
2018-04-11,6999.37,433.44,670.57,310.06,12.37,170.03,119.93,59.99,14.71,2.983,8.9,2.784,1.07,1.007,0.1686,0.253,0.5558000000000001,0.2139,0.03794,0.003626
2018-04-12,8051.95,498.08,740.82,359.6,14.25,196.05,130.91,67.74,16.41,3.49,9.28,3.163,1.4,1.016,0.221,0.2871,0.6627000000000001,0.2472,0.040780000000000004,0.003942
2018-04-13,8237.16,528.95,762.19,376.55,13.95,194.16,133.67,68.51,16.76,3.438,9.57,3.17,1.51,1.047,0.2243,0.3159,0.7077,0.2733,0.044090000000000004,0.004464
2018-04-14,8195.34,514.66,754.76,372.89,13.84,194.47,129.76,65.3,16.46,3.459,9.23,2.904,1.47,1.025,0.2142,0.31420000000000003,0.6725,0.2626,0.04159,0.004410000000000001
2018-04-15,8437.03,534.31,792.1,387.84,14.11,205.06,132.92,71.18,17.0,3.615,8.81,3.183,1.7000000000000002,1.01,0.2349,0.366,0.6960000000000001,0.30720000000000003,0.044320000000000005,0.0047929999999999995
2018-04-16,8430.93,537.48,773.15,371.27,12.68,196.42,133.39,68.54,16.32,3.458,8.53,3.19,1.7000000000000002,1.046,0.2591,0.3821,0.6950000000000001,0.3065,0.04463,0.0050869999999999995
2018-04-17,8187.6,522.07,764.04,371.68,12.26,197.64,140.41,68.11,16.88,3.351,9.1,3.15,1.67,1.038,0.2752,0.3573,0.6817000000000001,0.32,0.04401,0.005053
2018-04-18,8246.57,526.61,895.16,424.57,12.51,240.95,141.68,73.5,17.87,3.674,9.23,3.12,1.72,1.009,0.2647,0.38180000000000003,0.7288,0.3573,0.0477,0.005771999999999999
2018-04-19,8321.01,570.18,991.24,437.42,12.69,239.48,147.72,75.93,18.42,3.9050000000000002,9.48,3.12,1.79,1.006,0.2755,0.3961,0.7876000000000001,0.3791,0.051980000000000005,0.006078999999999999
2018-04-20,8945.14,622.14,1151.3,471.28,13.27,272.53,156.56,79.74,19.89,4.136,11.7,3.471,2.02,1.01,0.31020000000000003,0.4181,0.9367000000000001,0.39990000000000003,0.054130000000000005,0.0061329999999999996
2018-04-21,9047.82,625.15,1188.67,467.96,14.12,274.24,157.08,80.59,19.99,3.964,11.63,3.12,2.01,1.015,0.3075,0.4177,0.9238000000000001,0.4,0.05664,0.005911
2018-04-22,9043.98,644.29,1260.13,479.46,13.39,280.49,153.18,75.92,19.11,4.021,11.88,3.2,2.12,1.029,0.29650000000000004,0.4077,0.9139,0.3861,0.05484000000000001,0.0059889999999999995
2018-04-23,9025.73,648.41,1457.29,528.68,13.94,286.54,153.52,78.37,20.89,4.063,12.03,3.578,2.2,1.009,0.2896,0.4062,0.8848,0.37670000000000003,0.05886,0.005826
2018-04-24,9741.91,711.64,1569.35,565.92,15.92,307.83,165.98,86.5,22.86,4.308,16.14,4.229,2.24,1.011,0.32020000000000004,0.439,0.9643,0.4086,0.07723000000000001,0.005954999999999999
2018-04-25,9765.23,703.9,1438.2,486.19,14.53,269.05,164.88,82.44,22.1,3.829,15.52,3.86,2.13,1.101,0.31120000000000003,0.4545,0.9255,0.3986,0.08042,0.00589
2018-04-26,9315.13,665.97,1425.93,509.68,15.12,292.02,154.58,77.47,21.61,3.987,15.59,3.778,2.07,1.003,0.2939,0.40740000000000004,0.8487,0.387,0.07413,0.0055839999999999996
